import time: self [us] | cumulative | imported package
import time:       780 |        780 |                   anyio.abc._subprocesses
import time:       689 |        689 |                   anyio.abc._testing
import time:      4359 |       4359 |                     anyio.lowlevel
import time:      1566 |       1566 |                     anyio._core._tasks
import time:      1041 |       1041 |                     anyio._core._testing
import time:     15536 |      22501 |                   anyio._core._synchronization
import time:      3414 |       3414 |                   anyio.from_thread
import time:      1049 |      46091 |                 anyio.abc
import time:       747 |      46837 |               anyio.to_thread
import time:      3486 |      50323 |             anyio._core._fileio
import time:       582 |        582 |             anyio._core._resources
import time:       491 |        491 |             anyio._core._signals
import time:       726 |        726 |                 anyio.streams
import time:     11474 |      12199 |               anyio.streams.stapled
import time:      4476 |       4476 |               anyio.streams.tls
import time:      4606 |      21280 |             anyio._core._sockets
import time:      8794 |       8794 |               anyio.streams.memory
import time:       952 |       9745 |             anyio._core._streams
import time:       815 |        815 |             anyio._core._subprocesses
import time:      1775 |       1775 |             anyio._core._tempfile
import time:      1899 |      93031 |           anyio
import time:      3560 |       3560 |                         pydantic_core._pydantic_core
import time:      1734 |       1734 |                               numbers
import time:      1683 |       3416 |                             _decimal
import time:       661 |       4077 |                           decimal
import time:     52804 |      56880 |                         pydantic_core.core_schema
import time:      3458 |      63897 |                       pydantic_core
import time:       976 |      64872 |                     pydantic.version
import time:      1603 |      66475 |                   pydantic.warnings
import time:      1457 |      67931 |                 pydantic._migration
import time:       747 |        747 |                     typing_inspection
import time:      7287 |       7287 |                     typing_inspection.typing_objects
import time:      4280 |      12313 |                   typing_inspection.introspection
import time:       550 |        550 |                   pydantic._internal
import time:      1818 |       1818 |                       pydantic._internal._namespace_utils
import time:      1805 |       3622 |                     pydantic._internal._typing_extra
import time:       978 |       4600 |                   pydantic._internal._repr
import time:      1767 |      19229 |                 pydantic.errors
import time:      1262 |      88422 |               pydantic
import time:      1174 |       1174 |                   pydantic._internal._internal_dataclass
import time:      5178 |       6352 |                 pydantic.aliases
import time:      5361 |       5361 |                 pydantic.config
import time:      1422 |      13134 |               pydantic._internal._config
import time:      1798 |       1798 |                 pydantic._internal._core_utils
import time:       599 |        599 |                   pydantic._internal._import_utils
import time:      4531 |       5129 |                 pydantic._internal._utils
import time:     17464 |      24390 |               pydantic._internal._decorators
import time:      2227 |       2227 |                   pydantic._internal._forward_ref
import time:      2075 |       4302 |                 pydantic._internal._generics
import time:       881 |        881 |                 pydantic._internal._docs_extraction
import time:      2044 |       7226 |               pydantic._internal._fields
import time:      3124 |       3124 |                   pydantic.plugin
import time:      1392 |       4515 |                 pydantic.plugin._schema_validator
import time:      1558 |       6073 |               pydantic._internal._mock_val_ser
import time:      6949 |       6949 |                   fractions
import time:       552 |        552 |                       _wmi
import time:      3045 |       3597 |                     platform
import time:       300 |        300 |                     _uuid
import time:      2959 |       6855 |                   uuid
import time:      1688 |       1688 |                       sysconfig
import time:      2568 |       2568 |                       _sysconfigdata__linux_aarch64-linux-gnu
import time:      3429 |       7683 |                     zoneinfo._tzpath
import time:      2076 |       2076 |                     zoneinfo._common
import time:       810 |        810 |                     _zoneinfo
import time:      1551 |      12119 |                   zoneinfo
import time:      1797 |       1797 |                   pydantic.annotated_handlers
import time:     24632 |      24632 |                   pydantic.functional_validators
import time:      1832 |       1832 |                     pydantic._internal._core_metadata
import time:      1051 |       1051 |                     pydantic._internal._schema_generation_shared
import time:     10380 |      13262 |                   pydantic.json_schema
import time:      1017 |       1017 |                   pydantic._internal._discriminated_union
import time:      1160 |       1160 |                   pydantic._internal._known_annotated_metadata
import time:      3407 |       3407 |                   pydantic._internal._schema_gather
import time:      5193 |      76386 |                 pydantic._internal._generate_schema
import time:       953 |        953 |                 pydantic._internal._signature
import time:      6246 |      83584 |               pydantic._internal._model_construction
import time:      3242 |       3242 |                 http
import time:       820 |       4062 |               starlette.exceptions
import time:     48711 |      48711 |                 annotated_types
import time:      1394 |       1394 |                 pydantic._internal._validators
import time:     31159 |      31159 |                 pydantic.types
import time:     11851 |      93114 |               pydantic.fields
import time:       711 |        711 |               pydantic.plugin._loader
import time:     52248 |     372958 |             fastapi.exceptions
import time:       857 |        857 |               fastapi.openapi
import time:       842 |        842 |                   fastapi.types
import time:      1439 |       1439 |                     shlex
import time:       775 |        775 |                     starlette.concurrency
import time:      1791 |       1791 |                     starlette.types
import time:      4224 |       8228 |                   starlette.datastructures
import time:      1268 |      10336 |                 fastapi._compat.shared
import time:       586 |        586 |                   fastapi.openapi.constants
import time:      7094 |       7680 |                 fastapi._compat.v2
import time:       884 |      18899 |               fastapi._compat
import time:       694 |        694 |               fastapi.logger
import time:       486 |        486 |               email_validator
import time:    447989 |     468923 |             fastapi.openapi.models
import time:      1497 |       1497 |             fastapi.datastructures
import time:     10762 |     854139 |           fastapi.params
import time:       541 |        541 |             fastapi.dependencies
import time:       390 |        390 |                   fastapi.security.base
import time:      4673 |       4673 |                     http.cookies
import time:      1936 |       1936 |                     starlette._utils
import time:       964 |        964 |                             python_multipart.exceptions
import time:      1159 |       2123 |                           python_multipart.decoders
import time:      5149 |       7271 |                         python_multipart.multipart
import time:       886 |       8156 |                       python_multipart
import time:      4307 |      12463 |                     starlette.formparsers
import time:      1565 |      20635 |                   starlette.requests
import time:      1309 |      22333 |                 fastapi.security.api_key
import time:       496 |        496 |                   fastapi.security.utils
import time:      5835 |       6330 |                 fastapi.security.http
import time:      6038 |       6038 |                   fastapi.param_functions
import time:      4295 |      10332 |                 fastapi.security.oauth2
import time:       891 |        891 |                 fastapi.security.open_id_connect_url
import time:       712 |      40597 |               fastapi.security
import time:       142 |      40738 |             fastapi.security.base
import time:      5870 |      47148 |           fastapi.dependencies.models
import time:       590 |        590 |               starlette.background
